composer1,composer2,linking_id
1313057,4089321,69828
4089321,4104286,69828
1107266,2864710,69828
2864710,4104278,69828
2864710,2954755,69828
2864710,4104280,69828
2864710,4104281,69828
1612968,2864710,69828
959123,2864710,69828
1313057,2864710,69828
2864710,4104286,69828
1107266,4104278,69828
1107266,2954755,69828
1107266,4104280,69828
1107266,4104281,69828
1107266,1612968,69828
959123,1107266,69828
1107266,1313057,69828
1107266,4104286,69828
2954755,4104278,69828
4104278,4104280,69828
4104278,4104281,69828
1612968,4104278,69828
959123,4104278,69828
1313057,4104278,69828
4104278,4104286,69828
2954755,4104280,69828
2954755,4104281,69828
1612968,2954755,69828
959123,2954755,69828
1313057,2954755,69828
2954755,4104286,69828
4104280,4104281,69828
1612968,4104280,69828
959123,4104280,69828
1313057,4104280,69828
4104280,4104286,69828
1612968,4104281,69828
959123,4104281,69828
1313057,4104281,69828
4104281,4104286,69828
959123,1612968,69828
1313057,1612968,69828
1612968,4104286,69828
959123,1313057,69828
959123,4104286,69828
1313057,4104286,69828
7422,1375858,40139
1375858,1549652,40139
7422,1549652,40139
1972437,4196951,128904
13225,4196951,128904
1523029,4196951,128904
51588,4196951,128904
4196950,4196951,128904
2171212,4196951,128904
13225,1972437,128904
1523029,1972437,128904
51588,1972437,128904
1972437,4196950,128904
1972437,2171212,128904
13225,1523029,128904
13225,51588,128904
13225,4196950,128904
13225,2171212,128904
51588,1523029,128904
1523029,4196950,128904
1523029,2171212,128904
51588,4196950,128904
51588,2171212,128904
2171212,4196950,128904
67945,1451781,40143
67945,67947,40143
67947,1451781,40143
3638712,3826005,208146
1106320,1903202,34958
112618,1547450,34975
2018434,2018445,34957
4500,189406,655
2398,189406,655
2398,4500,655
1919620,2165141,69876
2165140,2165141,69876
1919620,2165140,69876
3661768,3661770,208087
1521262,1521263,21860
1741366,3338912,111141
1147326,1361189,126126
2540767,2540768,6036
2020130,3112915,75214
144673,2020130,75214
2020130,2482513,75214
144673,3112915,75214
2482513,3112915,75214
144673,2482513,75214
562662,1412071,75179
1433681,1647649,83451
1775461,2483357,108459
1775461,3128748,108459
2483357,3128748,108459
1614826,2619836,83449
4155528,4353214,233533
4155526,4155528,233533
4155528,4623190,233533
4155526,4353214,233533
4353214,4623190,233533
4155526,4623190,233533
1162083,2662654,69786
1807032,2115082,45822
1301685,2226733,45815
2066855,2226733,45815
2031409,2226733,45815
2061023,2226733,45815
2061061,2226733,45815
2221298,2226733,45815
1301685,2066855,45815
1301685,2031409,45815
1301685,2061023,45815
1301685,2061061,45815
1301685,2221298,45815
2031409,2066855,45815
2061023,2066855,45815
2061061,2066855,45815
2066855,2221298,45815
2031409,2061023,45815
2031409,2061061,45815
2031409,2221298,45815
2061023,2061061,45815
2061023,2221298,45815
2061061,2221298,45815
1226117,1586922,646
1896939,2254707,45816
1896939,2254703,45816
1896939,2254156,45816
1896939,2254682,45816
2254703,2254707,45816
2254156,2254707,45816
2254682,2254707,45816
2254156,2254703,45816
2254682,2254703,45816
2254156,2254682,45816
2061023,2248526,45817
1139920,2248526,45817
2031409,2248526,45817
2220149,2248526,45817
2031516,2248526,45817
2172128,2248526,45817
1139920,2061023,45817
2061023,2220149,45817
2031516,2061023,45817
2061023,2172128,45817
1139920,2031409,45817
1139920,2220149,45817
1139920,2031516,45817
1139920,2172128,45817
2031409,2220149,45817
2031409,2031516,45817
2031409,2172128,45817
