director_id,director_name,popularity
1934040,Barbara Brown,6.218
1452715,Loni Peristere,4.508
21549,Chad Lowe,17.111
1187659,Marshall Tyler,1.254
57134,James Wong,6.913
2781072,Greg Sirota,1.292
1308925,Steven K. Tsuchida,4.046
980684,Mary Wigmore,5.263
113570,Maggie Kiley,5.813
40230,Kevin Hooks,10.14
65521,Tina Mabry,10.14
166679,Michael Medico,6.213
1919662,Varda Bar-Kar,1.222
1660435,Shauna Duggins,8.246
1737964,John Gray,1.154
4065688,Jihane Mrad Balaa,1.397
1551062,Alonso Alvarez,6.714
1550011,Sharat Raju,9.636
144519,Gilles Paquet-Brenner,7.994
2776837,Arhur Gimpel,0.268
1091895,Alexey Fedorov,1.779
2218785,Ilya Boyko,0.29
931898,Aleksandr Baranov,8.889
2776833,Alexandr Nikolaev,0.417
932270,Angelina Nikonova,2.205
169297,Geoff Posner,5.099
30869,Mitch Marcus,3.426
3115913,Ömer Kalli,0.51
1489306,Ayhan Özen,5.708
3605316,Md Sani Bangi,0.074
2805968,Azroy Sultan,1.357
1339405,Khairudin Samsudin,2.566
3601872,Maria Mahat,0.2
2586318,Khairuddin Kamaluddin,0.4
4388807,Mohammed Refat Fahim,0.024
3983406,Menco Hidayat,0.652
145066,Koichi Sakamoto,15.802
1278821,Shinichi Nishitani,3.706
1683400,Anjum Shahzad,8.035
1123390,Mitsunobu Yoshida,2.563
1580644,Tetsuya Endo,13.63
1606737,Jun Watanabe,0.6
3100755,Hidetoshi Owashi,3.573
1858626,Márcio Tavolari,1.469
2530950,Adiamond Lee,2.292
2079651,Kajol Arifin Omi,1.002
8934,Alan Hume,10.545
1396890,Ludek Bogner,1.689
1338887,José Luis Ortega,0.699
1637516,Frederic Henocque,1.204
1634378,Efren del Moral,0.124
1634379,Tanya Jackson,0.917
1634586,Daniel Almada,2.04
94709,Henri Safran,6.159
1578179,Guillermo 'Memo' Carreño,1.462
1634381,Miguel Lima,1.95
1631127,Harry Ambrose,1.743
1637541,Dan Leatham,1.123
100147,Brianne Murphy,7.977
1631145,Frank Charles,0.931
1637519,Douglas Reyes,0.398
1637518,Bruno Madariaga,0.632
1637517,Luke Lieberman,1.147
1195866,Peter George,1.459
114468,Kevin James Dobson,6.087
73945,J. Barry Herron,2.817
3778998,Jang Jaeseok,1.214
2228156,Matt Hamilton,1.92
1233197,David Bell,1.214
34004,Chris Seager,5.741
120930,Jon Jones,6.895
1346756,Virginia Quinn,3.391
1291163,Zig Madamba Dulay,3.137
1593651,Viktor Novozhilov,0.382
239805,Georgij Pestov,3.973
3198324,Svetlana Dobuzhinskaya,0.127
3198323,Anna Dadi,0.697
3198327,Natalya Gavrilova,0.639
3198326,Furkat Fayziyev,1.3
2964120,Valentina Brusnika,1.137
1593642,Ulyana Shilkina,1.835
3198328,Aleksandra Vasnetsova,0.403
3181792,Olesya Posoyuznykh,0.567
1596438,Aram Movsesyan,2.634
3198300,Lyudmila Aksyonova,0.311
2002971,Evgeniy Panfilov,0.752
2784358,Andrey Khvatkov,0.74
2114820,Aleksandr Fedenyov,1.69
3198354,Elina Frenkel,0.615
3198334,Dmitry Glushchenko,0.159
1414074,Yulia Aronova,3.009
3902125,Edison Layne,0.391
212239,Alan J.W. Bell,1.692
1336236,John Hayes Fisher,2.141
4455212,Scott Enlow,0.784
4656653,David Lee Felter,0.346
1239606,Sean Overbeeke,1.541
1644904,Toby Baker,1.912
3368744,Maija Paavola,0.161
3950984,Tommy Vilén,1.674
3950983,Milla Nokelainen,1.018
130790,Pete Riski,8.663
2746710,Antti Pöllänen,0.9
2130547,Jantsu Puumalainen,2.176
166757,Michael Offer,6.227
301974,Daniel Percival,3.912
1505052,Vicki Cooper,1.47
2065790,Avinash Walzade,0.413
1770888,Paul Alter,1.674
2257191,Tim Martin,2.883
187005,Riccardo Pellizzeri,4.228
182328,Toby MacDonald,6.859
3767485,Kim Sunhyung,0.16
2387428,Shin Woo-chul,4.161
2261282,Mo Wan-il,3.07
2406306,Cha Yeong-hun,1.766
2270181,Deekshit Kaul,0.277
2210091,Jeff Cole,0.116
2104338,Elad Winkler,0.73
2210088,Colin Evans,0.314
1261517,Michelle Metivier,1.445
2209915,Dean Davis,0.232
45962,Lex de Azevedo,1.86
128026,Huang Bo,19.383
3756830,Benjamin Lister,0.066
4659758,Steve Peet,0.002
1193500,Mikhail Red,8.453
1316535,Hideki Imaizumi,3.637
2994176,Kang Seo-ki,1.705
3354798,Honami Inamura,1.158
1520773,Yasunori Ebina,6.286
2234411,Makoto Endo,3.166
1212736,Sydney Lotterby,5.376
2459923,Paul Sta. Ana,0.267
1587295,Shawn Bu,1.704
3260458,Joon Kim,3.224
3260456,Julien Bam,2.531
3745453,Benjamin Algar,0.001
1606592,Neal Del Rosario,1.07
3778949,Kim Soohwan,0.241
3756914,Lauren Hawthorne,0.044
1270948,Al Francesco,0.981
2322268,Ian Kerr,1.179
1681759,David Sharples,0.603
1235900,Jerry Henry,1.098
2957938,Dom Zanghi,0.727
2959315,Jed Klemow,0.179
151052,Rory Karpf,9.09
240740,Daniel Junge,4.026
89249,Jesse James Miller,2.267
2621806,Corey Frost,1.531
3331091,Jo Seung Hee,0.001
3745648,Lee Yun Ho,0.011
2381363,Kenny Scott,0.368
129514,Peter H. Hunt,1.956
19798,Randa Haines,10.573
92554,Harry Winer,7.28
3131495,Lee Tae-kyeong,1.19
65688,Jim Drake,8.908
1214853,Don Reo,5.202
1212063,Linda Day,10.105
3763768,Moon Sinae,0.053
1606102,Jiří Kadaňka,2.274
2343592,Yvona Novotná,1.571
229763,František Filip,7.556
1918883,Peter Jefferies,0.653
1178835,Kozo Nagayama,4.302
127440,Hideki Takeuchi,6.145
106834,Charles A. Nichols,5.555
4104253,Brent Freeburg,0.883
2014913,Tom Djokaj,1.191
1938592,Travis McMunn,0.809
1720671,Charlie Gardner,2.166
3539910,David Charles,0.886
4081225,Sean Travis,0.601
4089321,Daniel Wehr,3.039
234222,Jobst Knigge,3.931
1548654,Annette Baumeister,3.844
42453,Matthias Schmidt,3.657
1312013,Dag Freyer,2.229
1186018,Niels Negendank,0.367
2019529,Andrei Golovkov,1.564
1429677,Sergey Arlanov,3.651
3663655,Jason M. Lange,0.317
3202144,Rishabh Ranjan,0.165
3034603,Shivam Sharma,0.273
3151723,Gianni Gianneli,0.56
2432533,Kabir Tejpal,0.399
2434988,Simarpreet Singh,1.297
1310371,Guglielmo Morandi,2.569
3031764,Moumita Sen,0.044
3149861,Promita Bhattacharya,0.38
1539790,Jeanina Vasilescu,1.039
96389,Miro Gábor,1.94
22057,Alan Caso,9.306
95329,Kevin Connor,10.947
35511,James Glennon,5.891
146150,Joyce Chopra,6.264
2619237,Marie-Claude Fournier,0.001
35165,Paul Elliott,5.593
212165,Chris Eyre,9.39
44481,Michael Nankin,7.511
1213618,Sanford Bookstaver,7.99
1097660,Billy Luther,1.62
3159774,Hwang Jo Kwon,0.011
1510179,Yuki Ito,10.433
2413516,Yui Umemoto,7.261
2249632,Teruyuki Omine,4.099
1563426,Toshimasa Ishii,4.639
1845928,Ayumu Ono,4.127
3294314,Kazuki Horiguchi,3.873
2756598,Tatsuya Mizuno,1.893
1821176,Aya Igashi,4.307
1482970,Park Jung-hun,1.657
2260714,Yu Je-won,2.851
143681,Ekaterina Dvigubskaya,4.954
2464189,Austin Lee Smoak,0.114
1323897,Dan Ast,0.567
30309,Peter Greenaway,9.328
1189037,Tom Phillips,3.034
2107907,Vladimír Skórka,0.764
2382490,Naoyoshi Kusaka,2.196
83923,Seiji Mizushima,9.552
2076890,Tsuyoshi Nagasawa,3.426
1406853,Hiroshi Kimura,5.939
934708,Akio Takami,8.112
2264359,Akira Takahashi,6.117
1848321,Yumiko Ishii,7.944
2164255,Hajime Gonno,2.316
240973,Norman Stone,6.244
2814203,Julio Flores,2.26
1284086,Temel Gürsu,4.801
5216,Gus Van Sant,8.615
52779,Ryan Murphy,15.555
9994,Helen Hunt,46.053
916958,Liza Johnson,6.303
202100,Tim Minear,10.51
213614,Max Winkler,9.123
992858,Tapio Piirainen,5.841
3389168,고희희,0.001
3727798,Punnasak Sukee,0.08
3663294,Junior Okoli,0.343
1464034,Benedikt Kuby,0.029
123885,Takehiko Shinjo,6.042
1743874,Simon Staffurth,1.805
35976,Edward J. Pei,3.951
43521,Christopher Faloona,5.125
17309,Greg Beeman,7.119
62369,Olatunde Osunsanmi,13.475
2388,Jonathan Frakes,21.627
9264,Sergio Mimica-Gezzan,8.549
163198,Holly Dale,8.373
1215672,Fred Toye,10.286
18695,Adam Kane,8.975
1376394,Nathaniel Goodman,4.042
204250,Seith Mann,7.342
30149,Mikael Salomon,7.652
1216147,Anthony Hemingway,3.237
1232549,Peter Leto,7.029
27146,Rob Lieberman,9.387
13526,Noah Wyle,23.701
173957,Matt Earl Beesley,3.517
1222761,David Solomon,10.273
21712,Carl Franklin,10.262
114404,Miguel Sapochnik,4.896
21053,John Dahl,12.926
78992,Bill Eagles,11.869
1880795,Marc Miller,1.448
1217917,Michael Ferguson,5.66
1239526,Steve Dildarian,3.655
1726954,Linda Tromp,0.239
1601403,Anita van Pelt,0.554
1501347,Willem Helwig,1.571
1721929,Dennis Wielaert,2.057
1498326,Han Wennink,2.097
69694,Philip Hering,1.314
2146234,Hidde Boorsma,0.412
1544496,Ezra Reverda,1.75
1990314,Joost Rietdijk,0.755
118600,Martin Schwab,3.916
208800,Pieter van Rijn,2.583
3937004,Barbara Verschuren,0.945
2203407,Olaf Westra,0.746
1427159,Vincent Schuurman,2.112
2200993,Eddie Stuy,0.146
3842757,Kai Westendorp,0.712
118123,Pollo de Pimentel,1.396
82459,Victor Reinier,10.612
1249643,Oda Spelbos,7.288
1282094,Annemarie van de Mond,1.617
209888,Pieter Walther Boer,0.763
1272027,Aniëlle Webster,4.175
1132713,Li Wen Qi,1.191
108250,Stephen Cragg,6.18
1997031,Chris McKim,0.848
1492736,Erwin Roodhart,1.77
3134811,Kim Yong Beom,1.023
2117190,Ahn Joon-young,0.6
3135767,Lee Sun-young,0.748
2277950,Kim Tae-eun,0.358
3139769,신유선,0.607
1644168,Tony Manders,1.912
1213701,Robert Tronson,7.82
149977,Ian Fordyce,3.686
1123377,Seiichi Morishita,6.219
931828,Ei Aoki,4.906
24003,Yota Tsuruoka,7.252
2957273,Maiko Okada,3.479
1371915,Tony Miller,2.719
79855,Julian Court,2.988
68774,Christopher Menaul,10.787
136531,John Alexander,9.233
1132437,Tsai Yueh-Hsun,1.612
1167751,Aart Staartjes,4.918
1213368,Chip Chalmers,4.852
1442586,Nicky Bligh,2.047
12011,William Castle,6.135
103346,Leslie Goodwins,6.861
34796,Lambert Hillyer,8.281
31251,Herbert L. Strock,4.582
1215073,Andrew D. Weyman,4.583
30270,Richard Whorf,8.371
81719,Takashi Watanabe,5.229
2234474,Hiroshi Matsuzono,3.618
3019156,Ryuuta Yanagi,9.968
1871925,Takamasa Kanazawa,1.126
1561948,Akihiro Karaki,2.729
2051860,Ryôji Shinmura,2.676
1634746,Jôta Tsunehiro,3.11
1095981,Manabu Asô,7.315
1436316,Chun Chieh Liu,2.492
1245854,Faruk Teber,3.725
2544605,Bert Haitsma,1.583
1211830,Stefan Scaini,4.423
22544,Bryan England,3.377
1483459,Gary Sales,1.232
115178,Kristoffer Tabori,15.823
2249188,Diane Calhoun,2.897
2595711,Marten W. Piccinini,0.464
142157,Doug Coleman,5.739
1174226,Vern Gillum,5.732
100616,Tom DeSimone,2.804
1213008,Peter Ellis,6.933
57898,William Malone,7.43
93419,Don Scardino,13.251
47370,Paul Stanley,7.546
44685,John Florea,5.046
151750,Bernard McEveety,9.869
31312,Don Medford,9.037
151294,Allen Reisner,10.402
47893,Gary Nelson,13.349
