composer_id,composer_name,popularity
3502402,Shingo Nishimura,1.653
138301,Nhick Ramiro Pacis,0.613
213354,Tamer Karawan,2.566
4394995,Jiří Vidasov,0.333
4394996,Hello Marcel,0.113
979287,Bijibal,2.023
1809720,Valery Tsarkov,3.074
1336859,Andrea Bellucci,1.041
11308,Bunny Andrews,7.668
1112896,Joel J. Richard,4.686
2353159,Miquel Angel Riaza,0.001
3123852,Xavier Romeu,0.002
1592083,Alexey Ashkenazi,0.581
3081943,Oliver Coates,3.383
91546,Piero Umiliani,3.823
2160531,Heikki Elo,0.344
1276704,Juan Navazo,0.44
2984276,Yoshiyuki Ito,3.214
90504,Takefumi Haketa,4.488
1249819,The Angel,2.26
23739,James L. Venable,0.841
1087519,Steve Rucker,1.455
1087518,Thomas Chase,4.193
17252,John Lunn,6.185
1321399,Kosuke Yamashita,2.908
4140,Mark Isham,4.939
2704462,Jina Hyojin An,0.445
2047865,Shirley Song,2.226
16415,Maury Laws,3.739
1743606,David Solař,3.216
3844584,Michal Navrátil,1.031
2098512,Shou Gotou,0.083
3859797,Mikiya Katakura,1.276
1376311,Lolita Ritmanis,8.135
1521139,Michael McCuistion,3.536
497701,Kristopher Carter,3.035
3083670,Ali Otyam,0.459
1732537,Scott Schirle,2.311
68126,Christopher Tyng,6.64
31052,Vic Mizzy,5.708
544243,Petr Malásek,3.294
1957668,Burcu Güven,2.22
1397247,Cenk Durmazel,3.244
1983226,Cenk Sarkuş,0.599
56899,Haim Saban,5.911
50099,Shuki Levy,7.806
2396989,Amir Qureshi,0.343
1380859,Sarah Warne,3.252
66157,Takayuki Hattori,7.07
1449790,Osamu Totsuka,2.003
55773,Nathaniel Méchaly,2.862
1834284,Ali Raza,0.651
120014,Chumei Watanabe,6.901
9989,Mark Mancina,8.765
992648,Tomonori Ochikoshi,8.632
947,Hans Zimmer,23.36
4207279,Daniel Stockdale,0.466
3460298,Tetsuya Gunji,0.619
1558985,Max Aruj,4.252
